activity_id,institution_id,source_id,experiment_id,frequency,realm,table_id,member_id,grid_label,variable_id,time_range,chunk_freq,platform,dimensions,cell_methods,standard_name,pass_qc,path
dev,,archive,SPEAR,mon,ocean,,,,ssh,192101-193012,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/ocean/ts/monthly/10yr/ocean.192101-193012.ssh.nc
dev,,archive,SPEAR,mon,ocean,,,,ssh,193101-194012,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/ocean/ts/monthly/10yr/ocean.193101-194012.ssh.nc
dev,,archive,SPEAR,mon,ocean,,,,ssh,195101-196012,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/ocean/ts/monthly/10yr/ocean.195101-196012.ssh.nc
dev,,archive,SPEAR,mon,ocean,,,,ssh,196101-197012,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/ocean/ts/monthly/10yr/ocean.196101-197012.ssh.nc
dev,,archive,SPEAR,mon,ocean,,,,ssh,197101-198012,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/ocean/ts/monthly/10yr/ocean.197101-198012.ssh.nc
dev,,archive,SPEAR,mon,ocean,,,,ssh,198101-199012,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/ocean/ts/monthly/10yr/ocean.198101-199012.ssh.nc
dev,,archive,SPEAR,mon,ocean,,,,ssh,199101-200012,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/ocean/ts/monthly/10yr/ocean.199101-200012.ssh.nc
dev,,archive,SPEAR,mon,ocean,,,,ssh,200101-201012,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/ocean/ts/monthly/10yr/ocean.200101-201012.ssh.nc
dev,,archive,SPEAR,mon,ocean,,,,ssh,194101-195012,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/ocean/ts/monthly/10yr/ocean.194101-195012.ssh.nc
dev,,archive,SPEAR,mon,ocean,,,,MLD_003,192101-193012,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/ocean/ts/monthly/10yr/ocean.192101-193012.MLD_003.nc
